Rank,Country,County,Coord,Region,Average Instagram hashtags,Total Instagram hashtags,Total Hashtag Searches,
1,England,Devon,50.75;-3.75,South West,7243.44523,8199580,1132,
2,England,Lancashire,53.8611715499999;-2.54711154031047,North West,9412.669366,6974788,741,
3,England,Cornwall,50.416667;-4.75,South West,5791.67537,6654635,1149,
4,England,Cheshire,53.208788;-2.571892,North West,9683.007364,6574762,679,
6,England,Kent,51.2474823;0.7105077,South East,7492.803066,6353897,848,
7,England,Hampshire,51.083333;-1.166667,South East,8506.489598,6133179,721,
8,Scotland,Highland,57.5066357;-5.0038367,Scotland,5286.338923,5989422,1133,
9,England,North Yorkshire,54.09159275;-1.53591125805014,Yorkshire and the Humber,4870.171848,5639659,1158,
10,England,Essex,51.794464;0.515779,East England,8751.267913,5618314,642,
11,England,Gloucestershire,51.8333313;-2.1666674,South West,7026.474576,4974744,708,
12,England,Somerset,51.083333;-3,South West,4742.509579,4951180,1044,
13,England,Cumbria,54.6143136;-2.94208994687704,North West,5803.744325,4857734,837,
14,England,West Yorkshire,53.7414270999999;-1.72020037667772,Yorkshire and the Humber,7050.136646,4540288,644,
15,England,Hertfordshire,51.8400522999999;-0.0978551922452396,East England,11131.98504,4463926,401,
16,England,Surrey,51.2715316;-0.34145235112909,South East,12510.90395,4428860,354,
17,England,Staffordshire,52.8246941999999;-2.00745467233481,West Midlands,6454.783505,4382798,679,
18,Scotland,Argyll and Bute,56.4603494;-5.8618419478791,Scotland,8511.314894,4000318,470,
19,England,West Sussex,51;-0.416667,South East,9565.665796,3663650,383,
20,England,Norfolk,52.666667;1,East England,4576.010063,3637928,795,
21,England,Derbyshire,53.166667;-1.583333,East Midlands,6017.048301,3363530,559,
22,England,Lincolnshire,53.166667;-0.25,East Midlands,4265.880922,3331653,781,
24,England,West Midlands,52.5050033;-1.96439612333127,West Midlands,11272.10676,3167462,281,
23,England,Suffolk,52.24100135;1.04668303125652,East England,6663.056133,3204930,481,
25,England,Northumberland,55.25;-2.000559,North East,6965.063205,3085523,443,
26,England,Dorset,50.75;-2.333333,South West,5100.851916,2927889,574,
27,England,Buckinghamshire,51.840894;-0.899807358748079,South East,6739.822844,2891384,429,
28,England,Wiltshire,51.25;-1.916667,South West,4890.534031,2802276,573,
29,England,Nottinghamshire,53.1459288;-1.02149711681224,East Midlands,9697.403509,2763760,285,
30,England,Oxfordshire,51.833333;-1.25,South East,5450.5375,2616258,480,
32,England,Greater Manchester,53.50652485;-2.33744014225766,North West,13717.57692,2496599,182,
31,Wales,Glamorgan,51.46966765;-3.3820617487803,Wales,8286.887789,2510927,303,
33,England,East Sussex,50.9404266;0.369997789106886,South East,7599.155488,2492523,328,
34,England,Leicestershire,52.666667;-1,East Midlands,5920.288783,2480601,419,
35,England,Shropshire,52.65233935;-2.79586785992366,West Midlands,3308.063257,2457891,743,
36,England,Worcestershire,52.2109495;-2.15695551324222,West Midlands,4939.48394,2306739,467,
37,Scotland,Aberdeenshire,57.166667;-2.666667,Scotland,4820.099352,2231706,463,
38,England,Cambridgeshire,52.333333;0.083333,East England,5958.722063,2079594,349,
39,Scotland,Scottish Borders,55.583333;-2.833333,Scotland,6662.495082,2032061,305,
40,England,Tyne and Wear,54.9391774;-1.59487118480971,North East,11561.18023,1988523,172,
41,England,Durham,54.666667;-1.75,North East,5120.279793,1976428,386,
42,England,Warwickshire,52.32130635;-1.55369055366613,West Midlands,5785.009009,1926408,333,
43,England,Merseyside,53.4953602;-2.973937960086,North West,13908.48889,1877646,135,
45,England,Herefordshire,52.083333;-2.75,West Midlands,4130.888889,1710188,414,
46,Northern Ireland,County Antrim,51.856192;-4.172747,Northern Ireland,12377.32836,1658562,134,
47,England,Berkshire,51.4534888999999;-1.03187295933992,South East,5062.835962,1604919,317,
44,England,Northamptonshire,52.289802;-0.913396,East Midlands,5241.822148,1562063,298,
49,Wales,Gwynedd,52.9089585;-3.83352442821247,Wales,5832.863281,1493213,256,
48,England,Bedfordshire,52.0640034;-0.411113755603109,East England,7361.995413,1604915,218,
50,Scotland,Fife,56.3333331;-3.0000001,Scotland,6498.286996,1449118,223,
51,England,South Yorkshire,53.48153335;-1.38104220661495,Yorkshire and the Humber,3746.679894,1416245,378,
55,Scotland,Dumfries and Galloway,55.083333;-3.833333,Scotland,4047.030928,1177686,291,
52,Scotland,Perth and Kinross,56.5;-3.75,Scotland,5353.984556,1386682,259,
53,Scotland,Lanarkshire,55.628321;-3.80097,Scotland,7158.213483,1274162,178,
54,Wales,Pembrokeshire,51.8339209;-4.916667,Wales,5116.379562,1401888,274,
56,Northern Ireland,County Down,52.321846;-3.935816,Northern Ireland,9262.413223,1120752,121,
57,Scotland,Western Isles,57.666667;-7.166667,Scotland,3876.858156,1093274,282,
59,Scotland,Glasgow,55.865718;-4.268922,Scotland,11686.31395,1005023,86,
60,Scotland,Shetland Isles,60.502127;-1.294345,Scotland,3940.235772,969298,246,
58,Scotland,East Lothian,55.915797;-2.7511952,Scotland,9250.935484,860337,93,
62,England,Isle Of Wight,50.6710482;-1.33271111331994,South East,4370.618557,847900,194,
61,Scotland,Ayrshire,55.449349;-4.291312,Scotland,5266.955975,837446,159,
63,Scotland,Angus,56.666667;-2.916667,Scotland,4505.142077,824441,183,
64,Wales,Powys,52.32714995;-3.35533523947224,Wales,2292.185915,813726,355,
65,Scotland,Moray,57.416667;-3.25,Scotland,5592.062069,810849,145,
66,Wales,Blaenau Gwent,51.774289;-3.183833,Wales,22322.47059,758964,34,
5,England,Greater London,51.4893335;-0.144055084527687,London,5335.652482,752327,141,
67,Wales,Carmarthenshire,51.8936698499999;-4.21728272142992,Wales,3624.383085,728501,201,
68,Scotland,Stirling,56.2513771;-4.33738578180354,Scotland,4598.517986,639194,139,
69,Wales,Ceredigion,52.2945764;-3.95278099902914,Wales,3728.758824,633889,170,
70,Wales,Cardiff,51.508862;-3.178947,Wales,13942.95556,627433,45,
71,Wales,Swansea,51.65458725;-4.00279287481608,Wales,5100.576271,601868,118,
72,Wales,Torfaen,51.697485;-3.052079,Wales,13155.51111,591998,45,
73,Wales,Monmouthshire,51.7501058;-2.8333331,Wales,3179.898734,502424,158,
74,Wales,Clywd,,Wales,5041.708333,484004,96,
75,Wales,Denbighshire,,Wales,5297.824176,482102,91,
76,Scotland,Orkney,,Scotland,3203.369128,477302,149,
77,Northern Ireland,County Tyrone,,Northern Ireland,5553.439024,455382,82,
79,Wales,Caerphilly,,Wales,6000.930556,432067,72,
78,Scotland,Edinburgh,,Scotland,6240.956522,430626,69,
80,Scotland,West Lothian,,Scotland,5849.863014,427040,73,
81,Wales,Anglesey,,Wales,3715.318584,419831,113,
82,England,Bristol,,South West,12113,411842,34,
83,Northern Ireland,County Armagh,,Northern Ireland,7963.34,398167,50,
84,Scotland,East Renfrewshire,,Scotland,5977.59375,382566,64,
85,Northern Ireland,County Londonderry,,Northern Ireland,6720.660714,376357,56,
86,Wales,Wrexham,,Wales,3017.532258,374174,124,
88,Wales,Flintshire,,Wales,3412.1,341210,100,
89,Northern Ireland,County Fermanagh,,Northern Ireland,6572.571429,322056,49,
90,Scotland,Midlothian,,Scotland,6205.44,310272,50,
87,Scotland,South Lanarkshire,,Scotland,6578.822222,296047,45,
91,Scotland,East Dunbartonshire,,Scotland,8387.814815,226471,27,
93,Scotland,West Dunbartonshire,,Scotland,11789,223991,19,
92,England,East Riding of Yorkshire,,Yorkshire and the Humber,6376.228571,223168,35,
94,Scotland,Renfrewshire,,Scotland,7911.846154,205708,26,
95,England,Rutland,,East Midlands,3375.65,202539,60,
96,Wales,Bridgend,,Wales,19377.1,193771,10,
97,Scotland,South Ayrshire,,Scotland,3800.444444,171020,45,
98,Scotland,Dundee,,Scotland,5276.190476,110800,21,
99,England,Middlesex,,London,51006.5,102013,2,
100,Wales,Merthyr Tydfil,,Wales,4247.095238,89189,21,
101,Scotland,Clackmannanshire,,Scotland,2351.666667,56440,24,
102,Scotland,North Ayrshire,,Scotland,1213.375,38828,32,
103,Scotland,Inverclyde,,Scotland,1258,11322,9,
104,Scotland,Falkirk,,Scotland,1441.666667,4325,3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,Wiltshire
,,,,,,,,Worcestershire
