Rank,Country,Town,County,Coord,Region,Average Instagram hashtags,Total Instagram hashtags,Total Hashtag Searches,
1,England,Northcote,Devon,50.75;-3.75,South West,7243.44523,8199580,1132,
2,England,Padstow,Cornwall,50.416667;-4.75,South West,5791.67537,6654635,1149,
3,England,Wilmslow,Cheshire,53.208788;-2.571892,North West,9683.007364,6574762,679,
4,England,Folkestone,Kent,51.2474823;0.7105077,South East,7492.803066,6353897,848,
5,England,Buckskin,Hampshire,51.083333;-1.166667,South East,8506.489598,6133179,721,
6,Scotland,Glenelg,Highland,57.5066357;-5.0038367,Scotland,5286.338923,5989422,1133,
7,England,Skipton,North Yorkshire,54.09159275;-1.53591125805014,Yorkshire and the Humber,4870.171848,5639659,1158,
8,England,Basildon,Essex,51.794464;0.515779,East England,8751.267913,5618314,642,
9,England,Daylesford,Gloucestershire,51.8333313;-2.1666674,South West,7026.474576,4974744,708,
10,England,Weston super Mare,Somerset,51.083333;-3,South West,4742.509579,4951180,1044,
11,England,Patterdale,Cumbria,54.6143136;-2.94208994687704,North West,5803.744325,4857734,837,
12,England,Ilkley,West Yorkshire,53.7414270999999;-1.72020037667772,Yorkshire and the Humber,7050.136646,4540288,644,
13,England,Bishop's Stortford,Hertfordshire,51.8400522999999;-0.0978551922452396,East England,11131.98504,4463926,401,
14,England,Weybridge,Surrey,51.2715316;-0.34145235112909,South East,12510.90395,4428860,354,
15,England,Tamworth,Staffordshire,52.8246941999999;-2.00745467233481,West Midlands,6430.184094,4366095,679,
16,England,Bay Horse,Lancashire,53.8611715499999;-2.54711154031047,North West,5668.016194,"4,200,000",741,
17,Scotland,Tobermory,Argyll and Bute,56.4603494;-5.8618419478791,Scotland,8511.314894,4000318,470,
18,England,Blackstone,West Sussex,51;-0.416667,South East,9565.665796,3663650,383,
19,England,Great Yarmouth,Norfolk,52.666667;1,East England,4576.010063,3637928,795,
20,England,Matlock,Derbyshire,53.166667;-1.583333,East Midlands,6017.048301,3363530,559,
21,England,Cleethorpes,Lincolnshire,53.166667;-0.25,East Midlands,4265.880922,3331653,781,
22,England,Walsall,West Midlands,52.5050033;-1.96439612333127,West Midlands,11272.10676,3167462,281,
23,England,Southwold,Suffolk,52.24100135;1.04668303125652,East England,6663.056133,3204930,481,
24,England,West Allen,Northumberland,55.25;-2.000559,North East,6965.063205,3085523,443,
25,England,Lyme Regis,Dorset,50.75;-2.333333,South West,5100.851916,2927889,574,
26,England,Aylesbury,Buckinghamshire,51.840894;-0.899807358748079,South East,6739.822844,2891384,429,
27,England,Marlborough,Wiltshire,51.25;-1.916667,South West,4890.534031,2802276,573,
28,England,Sherwood Forest,Nottinghamshire,53.1459288;-1.02149711681224,East Midlands,9697.403509,2763760,285,
29,England,Henley on Thames,Oxfordshire,51.833333;-1.25,South East,5450.5375,2616258,480,
30,England,Didsbury,Greater Manchester,53.50652485;-2.33744014225766,North West,13717.57692,2496599,182,
31,Wales,Wyndham,Glamorgan,51.46966765;-3.3820617487803,Wales,8286.887789,2510927,303,
32,England,Bexhill,East Sussex,50.9404266;0.369997789106886,South East,7599.155488,2492523,328,
33,England,Loughborough,Leicestershire,52.666667;-1,East Midlands,5920.288783,2480601,419,
34,England,Ludlow,Shropshire,52.65233935;-2.79586785992366,West Midlands,3308.063257,2457891,743,
35,England,Redditch,Worcestershire,52.2109495;-2.15695551324222,West Midlands,4939.48394,2306739,467,
36,Scotland,Urie,Aberdeenshire,57.166667;-2.666667,Scotland,4820.099352,2231706,463,
37,England,Chainbridge,Cambridgeshire,52.333333;0.083333,East England,5958.722063,2079594,349,
38,Scotland,Balmoral,Scottish Borders,55.583333;-2.833333,Scotland,6662.495082,2032061,305,
39,England,Whitley Bay,Tyne and Wear,54.9391774;-1.59487118480971,North East,11561.18023,1988523,172,
40,England,Hartlepool,Durham,54.666667;-1.75,North East,5120.279793,1976428,386,
41,England,Kenilworth,Warwickshire,52.32130635;-1.55369055366613,West Midlands,5785.009009,1926408,333,
42,England,Formby,Merseyside,53.4953602;-2.973937960086,North West,13793.12593,1862072,135,
43,Northern Ireland,Greenisland,County Antrim,51.856192;-4.172747,Northern Ireland,12287.98611,1769470,144,
44,England,Hole in the Wall,Herefordshire,52.083333;-2.75,West Midlands,4130.888889,1710188,414,
45,England,Bracknell,Berkshire,51.4534888999999;-1.03187295933992,South East,5062.835962,1604919,317,
46,Wales,Portmeirion,Gwynedd,52.9089585;-3.83352442821247,Wales,5832.863281,1493213,256,
47,England,Rockingham,Northamptonshire,52.289802;-0.913396,East Midlands,5241.822148,1562063,298,
48,England,Leighton Buzzard,Bedfordshire,52.0640034;-0.411113755603109,East England,7361.995413,1604915,218,
49,Scotland,Fernie,Fife,56.3333331;-3.0000001,Scotland,6498.286996,1449118,223,
50,England,Hay Field,South Yorkshire,53.48153335;-1.38104220661495,Yorkshire and the Humber,3788.997354,1432241,378,
51,Wales,Guilford,Pembrokeshire,51.8339209;-4.916667,Wales,4350.708029,1192094,274,
52,Scotland,Pitlochry,Perth and Kinross,56.5;-3.75,Scotland,5353.984556,1386682,259,
53,Scotland,Flemington,Lanarkshire,55.628321;-3.80097,Scotland,8246.095506,1467805,178,
54,Northern Ireland,Monaghan,County Down,52.321846;-3.935816,Northern Ireland,8567.956835,1190946,139,
55,Scotland,Dumfries,Dumfries and Galloway,55.083333;-3.833333,Scotland,4047.030928,1177686,291,
56,Scotland,Outer Hebrides,Western Isles,57.666667;-7.166667,Scotland,3876.858156,1093274,282,
57,Scotland,Rutherglen,Glasgow,55.865718;-4.268922,Scotland,11686.31395,1005023,86,
58,Scotland,Langa,Shetland Isles,60.502127;-1.294345,Scotland,3940.235772,969298,246,
59,Scotland,North Berwick,East Lothian,55.915797;-2.7511952,Scotland,9250.935484,860337,93,
60,England,Yarmouth,Isle Of Wight,50.6710482;-1.33271111331994,South East,4370.618557,847900,194,
61,Scotland,The Den,Ayrshire,55.449349;-4.291312,Scotland,5266.955975,837446,159,
62,Scotland,West Hills,Angus,56.666667;-2.916667,Scotland,4505.142077,824441,183,
63,Wales,Bryn Mawr,Powys,52.32714995;-3.35533523947224,Wales,2292.185915,813726,355,
64,Scotland,Glenlivet,Moray,57.416667;-3.25,Scotland,5592.062069,810849,145,
65,Wales,Ebbw Vale,Blaenau Gwent,51.774289;-3.183833,Wales,22322.47059,758964,34,
