Rank,Country,Town,County,Coord,Region,Average Instagram hashtags,Total Instagram hashtags,Total Hashtag Searches,
37,Scotland,Urie,Aberdeenshire,57.166667;-2.666667,Scotland,4820.099352,2231706,463,
81,Wales,Stryd,Anglesey,,Wales,3715.318584,419831,113,
63,Scotland,West Hills,Angus,56.666667;-2.916667,Scotland,4586.901639,839403,183,
18,Scotland,Tobermory,Argyll and Bute,56.4603494;-5.8618419478791,Scotland,8522.280851,4005472,470,
61,Scotland,The Den,Ayrshire,55.449349;-4.291312,Scotland,5266.955975,837446,159,
48,England,Leighton Buzzard,Bedfordshire,52.0640034;-0.411113755603109,East England,7026.701835,1531821,218,
47,England,Bracknell,Berkshire,51.4534888999999;-1.03187295933992,South East,5062.835962,1604919,317,
66,Wales,Ebbw Vale,Gwent,51.774289;-3.183833,Wales,22322.47059,758964,34,
96,Wales,Porthcawl,Bridgend,,Wales,19377.1,193771,10,
82,England,Redfield,Bristol,,South West,12113,411842,34,
27,England,Aylesbury,Buckinghamshire,51.840894;-0.899807358748079,South East,6739.822844,2891384,429,
79,Wales,Risca,Caerphilly,,Wales,6000.930556,432067,72,
38,England,Chainbridge,Cambridgeshire,52.333333;0.083333,East England,5950.997135,2076898,349,
70,Wales,Began,Cardiff,51.508862;-3.178947,Wales,13942.95556,627433,45,
67,Wales,Llanelli,Carmarthenshire,51.8936698499999;-4.21728272142992,Wales,3623.587065,728341,201,
69,Wales,Aberystwyth,Ceredigion,52.2945764;-3.95278099902914,Wales,3728.758824,633889,170,
4,England,Wilmslow,Cheshire,53.208788;-2.571892,North West,9683.007364,6574762,679,
101,Scotland,Alloa,Clackmannanshire,,Scotland,2351.666667,56440,24,
74,Wales,Betws y Coed,Clywd,,Wales,5041.708333,484004,96,
3,England,Padstow,Cornwall,50.416667;-4.75,South West,5791.67537,6654635,1149,
46,Northern Ireland,Greenisland,Antrim,51.856192;-4.172747,Northern Ireland,12377.32836,1658562,134,
83,Northern Ireland,Armagh,Armagh,,Northern Ireland,12159.22,607961,50,
56,Northern Ireland,Monaghan,Down,52.321846;-3.935816,Northern Ireland,9367.371901,1133452,121,
89,Northern Ireland,Bellek,Fermanagh,,Northern Ireland,6592.979592,323056,49,
85,Northern Ireland,Londonderry,Londonderry,,Northern Ireland,6720.660714,376357,56,
77,Northern Ireland,Cookstown,Tyrone,,Northern Ireland,5606.902439,459766,82,
13,England,Patterdale,Cumbria,54.6143136;-2.94208994687704,North West,5803.744325,4857734,837,
75,Wales,Llangollen,Denbighshire,,Wales,5879.681319,535051,91,
21,England,Matlock,Derbyshire,53.166667;-1.583333,East Midlands,6017.048301,3363530,559,
1,England,Northcote,Devon,50.75;-3.75,South West,7243.44523,8199580,1132,
26,England,Lyme Regis,Dorset,50.75;-2.333333,South West,5101.121951,2928044,574,
55,Scotland,Dumfries,Dumfries and Galloway,55.083333;-3.833333,Scotland,4047.030928,1177686,291,
98,Scotland,West Ferry,Dundee,,Scotland,5276.190476,110800,21,
41,England,Hartlepool,County Durham,54.666667;-1.75,North East,5120.279793,1976428,386,
91,Scotland,Milngavie,Dunbartonshire,,Scotland,8387.814815,226471,27,
58,Scotland,North Berwick,East Lothian,55.915797;-2.7511952,Scotland,9250.935484,860337,93,
84,Scotland,Busby,East Renfrewshire,,Scotland,5961.96875,381566,64,
92,England,Kingston upon Hull,East Riding of Yorkshire,,Yorkshire and the Humber,6596.942857,230893,35,
33,England,Bexhill,East Sussex,50.9404266;0.369997789106886,South East,7599.155488,2492523,328,
78,Scotland,Murrayfield,Edinburgh,,Scotland,6240.956522,430626,69,
10,England,Basildon,Essex,51.794464;0.515779,East England,8493.872274,5453066,642,
104,Scotland,Borrowstounness,Falkirk,,Scotland,25806.33333,77419,3,
